Agency,Parent Agency*,Agency Acronym,Naming Convention,Electronic Reading Room URL,Notes,,
Office of Special Counsel,Independent,OSC,FOIA Library/Electronic Reading Room,https://osc.gov/Pages/FOIA-Resources.aspx,,,
Occupational Safety and Health Administration,Labor,OSHA,FOIA Page,https://www.osha.gov/as/opa/foia/foia.html,,,
Economic Development Administration,Commerce,EDA,FOIA Proactive Disclosures,https://www.eda.gov/foia/disclosures/,,,
Agricultural Marketing Service,Agriculture,AMS,FOIA Reading Room,https://www.ams.usda.gov/about-ams/foia,,,
American Battle Monuments Commission,BCC,ABMC,FOIA Reading Room,https://www.abmc.gov/node/1005/foia-reading-room,,,
Animal and Plant Health Inspection Service,Agriculture,APHIS,FOIA Reading Room,https://www.aphis.usda.gov/aphis/resources/foia/ct_foia_reading_room,,,
Bureau of Land Management,Interior,BLM,FOIA Reading Room,https://www.blm.gov/about/foia/foia-reading-room,,,
Bureau of Reclamation,Interior,USBR,FOIA Reading Room,https://www.usbr.gov/foia/readroom.html,,,
Bureau of Safety and Environmental Enforcement,Interior,BSEE,FOIA Reading Room,https://www.bsee.gov/newsroom/library/FOIA-Reading-Rooom,,,
Center for Medicare and Medicaid Services,Health & Human Services,CMS,FOIA Reading Room,https://www.cms.gov/Regulations-and-Guidance/Legislation/FOIA/rdgroom.html,,,
Chemical Safety and Hazard Investigation Board,Independent,CSB,FOIA Reading Room,https://www.csb.gov/disclaimers/legal-affairs-foia/,,,
Commission on Civil Rights,Independent,USCCR,FOIA Reading Room,https://www.usccr.gov/foia/foia-reading-room.php,,,
Committee for Purchase from People Who Are Blind or Severely Disabled,Independent,,FOIA Reading Room,"https://www.abilityone.gov/laws,_regulations_and_policy/foia_reading_room.html",,,
Corporation for National and Community Service,Independent,CNCS,FOIA Reading Room,https://www.nationalservice.gov/site-policy-and-notices/foia-and-privacy-act/electronic-reading-room-and-library,,,
Council of the Inspectors General on Integrity and Efficiency,Independent,CIEGIE,FOIA Reading Room,https://ignet.gov/content/foia-reading-room-1,,,
Defense Contract Audit Agency,Defense,DCAA,FOIA Reading Room,https://www.dcaa.mil/home/FOIAReadingRoom,,,
Defense Finance and Accounting Service,Defense,DFAS,FOIA Reading Room,https://www.dfas.mil/foia/foiareadingroom.html,,,
Defense Nuclear Facilities Safety Board,Independent,,FOIA Reading Room,https://www.dnfsb.gov/foia-reading-room,,,
Defense Threat Reduction Agency,Defense,DTRA,FOIA Reading Room,http://www.dtra.mil/Home/Freedom-of-Information-Act-and-Privacy-Act/Electronic-Reading-Room/,,,
Department of Agriculture,Agriculture,USDA,FOIA Reading Room,https://www.dm.usda.gov/foia/agencyfoia.htm,,,
Department of Housing and Urban Development,,HUD,FOIA Reading Room,https://www.hud.gov/program_offices/administration/foia/readingroom,,,
Election Assistance Commission,,USEAC,FOIA Reading Room,https://www.eac.gov/foia/foia-reading-room/,,,
Employment and Training Administration,Labor,ETA,FOIA Reading Room,https://www.doleta.gov/foia/,,,
Farm Credit Administration,Independent,FCA,FOIA Reading Room,https://www.fca.gov/required-notices/freedom-of-information-act,,,
Farm Credit System Insurance Corporation,,FCSIC,FOIA Reading Room,https://www.fcsic.gov/notices/index/foia-reading-room,,,
Naval History and Heritage Command,,NHHC,FOIA Reading Room,https://www.history.navy.mil/content/history/nhhc/foia/foia-reading-room.html,,,
Federal Deposit Insurance Corporation,Independent,FDIC,FOIA Reading Room,https://www.fdic.gov/about/freedom/readingroom.html,,,
Federal Housing Finance Agency,Independent,FHFA,FOIA Reading Room,https://www.fhfa.gov/AboutUs/FOIAPrivacy/Pages/Reading-Room.aspx,,,
National Mediation Board,,NMB,FOIA Reading Room,https://nmb.gov/NMB_Application/index.php/foia/,http://knowledgestore.nmb.gov/ks/index.html,,
Fish & Wildlife Service,Interior,FWS,FOIA Reading Room,https://www.fws.gov/irm/bpim/foiareadingroom.html,,,
Foreign Agricultural Service,Agriculture,FAS,FOIA Reading Room,https://www.fas.usda.gov/foia-reading-room,,,
Grain Inspection Packers and Stockyards Administration,Agriculture,GIPSA,FOIA Reading Room,https://www.gipsa.usda.gov/foia/foia.aspx,,,
Minority Business Development Agency,Commerce,MBDA,FOIA Reading Room,https://www.mbda.gov/page/freedom-information-act-reading-room,,,
National Geospatial-Intelligence Agency,Defense,NGA,FOIA Reading Room,https://www.nga.mil/About/Pages/NGA-FOIA-Reading-Room.aspx,,,
National Guard Bureau,Defense,NGB,FOIA Reading Room,https://www.nationalguard.mil/Resources/FOIA/Reading-Room/,,,
National Oceanic and Atmospheric Administration,Commerce,NOAA,FOIA Reading Room,https://www.noaa.gov/foia-reading-room,,,
National Transportation Safety Board,BCC,NTSB,FOIA Reading Room,https://foiarequest.ntsb.gov/App/ReadingRoom.aspx,,,
Natural Resources Conservation Service,Agriculture,NRCS,FOIA Reading Room,https://www.nrcs.usda.gov/wps/portal/nrcs/detailfull/national/about/?cid=nrcseprd815406,,,
Overseas Private Investment Corporation,Independent,OPIC,FOIA Reading Room,https://www.opic.gov/content/foia-reading-room,,,
Patent and Trademark Office,Commerce,USPTO,FOIA Reading Room,https://www.uspto.gov/learning-and-resources/ip-policy/electronic-freedom-information-act-e-foia,,,
Rural Development,Agriculture,RD,FOIA Reading Room,https://www.rd.usda.gov/contact-us/freedom-information-act-foia/foia-reading-room,,,
Selective Service System,Independent,SSS,FOIA Reading Room,https://www.sss.gov/Reports/FOIA/FOIA-Electronic-Reading-Room,,,
Social Security Administration,Independent,SSA,FOIA Reading Room,https://www.ssa.gov/foia/readingroom.html,,,
U.S. Mint,Treasury,USM,FOIA Reading Room,https://www.usmint.gov/foia/reading-room,,,
U.S. Postal Service,Independent,USPS,FOIA Reading Room,http://about.usps.com/who-we-are/foia/readroom/welcome.htm,,,
U.S. Trade and Development Agency,Independent,USTDA,FOIA Reading Room,https://ustda.gov/about/foia/foia-reading-room,,,
Women’s Bureau,Labor,WB,FOIA Reading Room,https://www.dol.gov/wb/e-foia.htm,,,
Council on Environmental Quality,White House,,FOIA Reading Room,https://www.whitehouse.gov/ceq/foia/,,,
Board of Governors of the Federal Reserve System,BCC,,"FOIA Reading Room, Electronic Reading Room",https://www.federalreserve.gov/foia/readingrooms.htm#rr1,,,
National Endowment for the Arts,Independent,NEA,"FOIA Reading Room, Frequently Requested Records",https://www.arts.gov/foia/reading-room,,,
Federal Trade Commission,BCC,FTC,FOIA Reading Rooms,https://www.ftc.gov/about-ftc/foia/foia-reading-rooms,,,
Library of Congress Copyright Office,LOC,,FOIA Records,https://www.copyright.gov/foia/,,,
Armed Forces Retirement Home,Exec Branch,AFRF,FOIA Reports,https://www.afrh.gov/foia,,,
Broadcasting Board of Governors,Independent,BBG,FOIA Reports,https://www.bbg.gov/foia/foia-reports/,,,
Johnson Space Center,NASA,JSC,FOIA Reports,https://www.nasa.gov/centers/johnson/news/foiareports/index.html,,,
Office of the Director of National Intelligence,Executive Office of the President (EOP),ODNI,FOIA Reports,https://www.dni.gov/index.php/component/content/article/86-dni/about-this-site/1235-foia-reports,,,
Consumer Product Safety Commission,BCC,CPSC,FOIA Reports and Activities,https://cpsc.gov/Newsroom/FOIA/Reports/,,,
Department of the Interior,Interior,DOI,FOIA Reports Library,https://www.doi.gov/foia/library,Search throughout all agencies,,
International Boundary and Water Commission,BCC,IBWC,FOIA Requester Service Center,https://www.ibwc.gov/Organization/FOIA.html,,,
Office of National Drug Control Policy,Executive Office of the President (EOP),ONDCP,FOIA Requests,https://www.whitehouse.gov/ondcp/additional-links-resources/foia/,,,
Bureau of Labor Statistics,Labor,BLS,FOIA Requests,https://www.bls.gov/bls/blsfoia.htm,,,
Postal Regulatory Commission,BCC,PRC,FOIA Requests,https://www.prc.gov/foia/requests,,,
Environmental Protection Agency,Independent,EPA,FOIA Resources,https://www.epa.gov/foia/foia-resources,,,
National Endowment for the Humanities,Independent,NEH,FOIA Responses,https://www.neh.gov/about/foia/responses,,,
Department of Transportation,DOT,DOT,FOIA Sites and Reading Rooms,https://www.transportation.gov/foia,,,
Animal & Veterinary Drug Summaries,FDA (HHS),,FOIA Summaries,https://animaldrugsatfda.fda.gov/adafda/views/#/foiDrugSummaries,,,
U.S. Marshals Service,Justice,USMS,Freedom of Information / Privacy Act,https://www.usmarshals.gov/readingroom/files.html,,,
U.S. Secret Service,Homeland Security,"USSS, Secret Service",Freedom of Information / Privacy Act,https://www.secretservice.gov/press/foia/library/,,,
Tennessee Valley Authority,Independent,TVA,Freedom of Information Act,https://www.tva.com/Information/Freedom-of-Information,,,
National Credit Union Administration,Independent,NCUA,Frequently Requested Information,https://www.ncua.gov/foia/frequently-requested-information,,,
Export-Import Bank of the United States,,EXIM,Frequently Requested Records,https://www.exim.gov/about/foia/frequently-requested-records-and-proactive-disclosures,,,
Office of Labor-Management Standards,Labor,OLMS,Online FOIA Reading Room,https://www.dol.gov/olms/regs/compliance/OLMS_FOIA.htm,,,
Centers for Disease Control and Prevention,Health & Human Services,CDC,PAL Reading Room,https://foia.cdc.gov/app/ReadingRoom.aspx,,,
Department of Agriculture,Agriculture,USDA,Reading Room,https://efoia-pal.usda.gov/app/App/ReadingRoom.aspx,check not working,,
